strategy,entry_datetime,exit_datetime,direction,lot_size,entry_price,exit_price,pnl_usd,pnl_points,exit_reason,duration_min,mfe_usd,mae_usd
NY_ORB,2026-02-03 13:50:00+00:00,2026-02-03 13:55:00+00:00,BUY,0.88,4941.675,4928.415,-1166.88,-13.26,SL,5.0,0.0,-1877.92
ASIAN_MR,2026-02-04 01:15:00+00:00,2026-02-04 01:35:00+00:00,SHORT,0.87,5046.375,4988.5288,5006.52,57.546199999999956,TP_Z_NEUTRAL,20.0,3152.01,-501.12
NY_ORB,2026-02-04 14:30:00+00:00,2026-02-04 14:35:00+00:00,SELL,0.46,5032.845,4981.085,2380.96,51.76,TP,5.0,2974.82,0.0
NY_ORB,2026-02-05 14:35:00+00:00,2026-02-05 14:50:00+00:00,SELL,0.31,4822.245,4866.955,-1386.01,-44.71,SL,15.0,0.0,-1455.6
ASIAN_MR,2026-02-06 02:10:00+00:00,2026-02-06 02:30:00+00:00,SHORT,0.61,4787.095,4822.108505153716,-2154.12,-35.31350515371541,SL_ATR,20.0,297.68,-3074.4
NY_ORB,2026-02-06 14:30:00+00:00,2026-02-06 14:35:00+00:00,SELL,0.45,4908.329,4938.035,-1336.8,-29.706,SL,5.0,0.0,-1735.65
NY_ORB,2026-02-09 14:30:00+00:00,2026-02-09 15:30:00+00:00,BUY,0.3,5014.705,5054.405000000001,1191.0,39.7,TP,60.0,1230.0,0.0
ASIAN_MR,2026-02-10 02:10:00+00:00,2026-02-10 02:55:00+00:00,SHORT,1.5,5041.775,5027.0905,2157.67,14.384499999999388,TP_Z_NEUTRAL,45.0,1099.5,-2124.0
NY_ORB,2026-02-10 14:15:00+00:00,2026-02-10 14:45:00+00:00,BUY,0.61,5058.725,5036.905,-1331.02,-21.82,SL,30.0,1205.36,-2348.5
ASIAN_MR,2026-02-11 02:45:00+00:00,2026-02-11 03:10:00+00:00,SHORT,2.42,5052.955,5043.87015,2125.93,8.784850000000187,TP_Z_NEUTRAL,25.0,994.62,-1108.36
NY_ORB,2026-02-12 14:10:00+00:00,2026-02-12 14:15:00+00:00,BUY,0.77,5077.005,5060.125,-1299.76,-16.88,SL,5.0,0.0,-1730.96
