strategy,entry_datetime,exit_datetime,direction,lot_size,entry_price,exit_price,pnl_usd,pnl_points,exit_reason,duration_min,mfe_usd,mae_usd
LONDON_ORB,2023-03-20 10:30:00+00:00,2023-03-20 10:34:00+00:00,SELL,10.0,1995.415,1978.1949999999997,16920.0,16.92,TP,25.0,19750.0,0.0
NY_ORB,2023-03-20 14:00:00+00:00,2023-03-20 14:12:00+00:00,SELL,10.0,1978.854,1967.066,11487.86,11.488,TP,65.0,13105.71,0.0
ASIAN_MR,2023-03-21 02:55:00+00:00,2023-03-21 03:30:00+00:00,SHORT,10.0,1983.128,1984.756457643602,-1928.46,-1.9284576436021326,SL_ATR,35.0,1313.0,-1897.0
ASIAN_MR,2023-03-22 01:05:00+00:00,2023-03-22 01:35:00+00:00,SHORT,10.0,1944.755,1943.4527999999998,1002.2,1.0022000000003117,TP_Z_NEUTRAL,30.0,1970.0,-1390.0
LONDON_ORB,2023-03-22 10:53:00+00:00,2023-03-22 11:29:00+00:00,BUY,10.0,1943.545,1942.025,-1820.0,-1.82,TIME,185.0,160.0,-3440.0
NY_ORB,2023-03-22 13:57:00+00:00,2023-03-22 14:13:00+00:00,SELL,10.0,1940.255,1944.335,-4380.0,-4.38,SL,85.0,940.0,-4893.0
ASIAN_MR,2023-03-23 02:35:00+00:00,2023-03-23 03:20:00+00:00,SHORT,10.0,1974.588,1970.2676499999998,4020.35,4.02035000000019,TP_Z_NEUTRAL,45.0,1094.0,-1587.0
LONDON_ORB,2023-03-23 10:10:00+00:00,2023-03-23 11:09:00+00:00,BUY,10.0,1978.735,1975.925,-3110.0,-3.11,SL,300.0,1860.0,-2920.0
NY_ORB,2023-03-23 16:10:00+00:00,2023-03-23 16:14:00+00:00,BUY,10.0,1979.458,1988.1840000000002,8426.11,8.426,TP,25.0,9117.22,0.0
ASIAN_MR,2023-03-24 03:05:00+00:00,2023-03-24 03:20:00+00:00,LONG,10.0,1990.448,1991.5929499999997,844.95,0.8449499999996533,TP_Z_NEUTRAL,15.0,780.0,-323.0
LONDON_ORB,2023-03-24 08:23:00+00:00,2023-03-24 09:38:00+00:00,SELL,10.0,1988.285,1992.765,-4780.0,-4.78,SL,380.0,7150.0,-4650.0
LONDON_ORB,2023-03-27 09:20:00+00:00,2023-03-27 09:20:00+00:00,SELL,10.0,1969.595,1964.535,4760.0,4.76,TP,5.0,7550.0,0.0
