entry_datetime,exit_datetime,direction,lot_size,entry_price,exit_price,r_multiple,pnl_usd,pnl_points,exit_reason,duration_min,mfe_usd,mae_usd
2024-10-02 15:20:00+00:00,2024-10-02 16:29:00+00:00,SELL,0.13,2653.264,2649.388,0.62,46.49,3.576,TIME,350.0,111.23,0.0
2024-10-03 14:05:00+00:00,2024-10-03 14:13:00+00:00,SELL,0.2,2647.314,2651.235,-1.0,-84.42,-4.221,SL,45.0,74.12,-116.8
2024-10-04 15:46:00+00:00,2024-10-04 15:58:00+00:00,SELL,0.17,2648.635,2653.428,-1.0,-86.58,-5.093,SL,65.0,17.0,-76.82
2024-10-07 15:00:00+00:00,2024-10-07 15:32:00+00:00,SELL,0.22,2643.735,2647.375,-1.0,-86.68,-3.94,SL,165.0,104.28,-74.14
2024-10-08 14:25:00+00:00,2024-10-08 14:29:00+00:00,SELL,0.16,2636.545,2626.6590000000006,2.0,153.38,9.586,TP,25.0,168.43,0.0
2024-10-09 15:05:00+00:00,2024-10-09 16:29:00+00:00,BUY,0.13,2613.055,2610.998,-0.33,-30.64,-2.357,TIME,425.0,61.1,-31.21
2024-10-14 13:45:00+00:00,2024-10-14 14:05:00+00:00,BUY,0.12,2659.224,2652.595,-1.0,-83.15,-6.929,SL,105.0,22.09,-91.75
2024-10-15 13:46:00+00:00,2024-10-15 13:59:00+00:00,BUY,0.15,2652.425,2647.185,-1.0,-83.1,-5.54,SL,70.0,11.55,-83.51
2024-10-16 13:50:00+00:00,2024-10-16 14:48:00+00:00,SELL,0.16,2680.325,2670.379,2.0,154.34,9.646,TP,295.0,165.92,-16.32
2024-10-17 15:30:00+00:00,2024-10-17 16:29:00+00:00,BUY,0.15,2686.598,2687.335,0.135,6.56,0.437,TIME,300.0,138.7,0.0
2024-10-21 13:46:00+00:00,2024-10-21 14:28:00+00:00,BUY,0.12,2740.365,2733.575,-1.0,-85.08,-7.09,SL,215.0,0.64,-94.32
2024-10-22 14:00:00+00:00,2024-10-22 14:21:00+00:00,SELL,0.24,2737.205,2740.545,-1.0,-87.36,-3.64,SL,110.0,86.88,-75.6
2024-10-23 14:15:00+00:00,2024-10-23 15:13:00+00:00,SELL,0.09,2731.555,2713.515,2.0,159.66,17.74,TP,295.0,180.36,0.0
2024-10-24 13:50:00+00:00,2024-10-24 14:26:00+00:00,SELL,0.14,2737.655,2726.6150000000002,2.0,150.36,10.74,TP,185.0,169.26,0.0
2024-10-25 13:55:00+00:00,2024-10-25 14:02:00+00:00,SELL,0.17,2726.465,2731.295,-1.0,-87.21,-5.13,SL,40.0,12.58,-79.27
2024-10-28 14:10:00+00:00,2024-10-28 16:29:00+00:00,BUY,0.18,2742.695,2743.735,0.239,13.32,0.74,TIME,700.0,55.67,-56.52
2024-10-29 13:45:00+00:00,2024-10-29 16:29:00+00:00,BUY,0.09,2760.825,2768.608,0.919,67.35,7.483,TIME,825.0,97.02,-6.48
2024-10-31 13:50:00+00:00,2024-10-31 14:34:00+00:00,SELL,0.12,2761.338,2747.984000000001,2.0,156.65,13.054,TP,225.0,196.06,0.0
2024-11-01 14:40:00+00:00,2024-11-01 16:29:00+00:00,SELL,0.11,2751.995,2743.465,1.15,90.53,8.23,TIME,550.0,136.62,0.0
2024-11-04 14:40:00+00:00,2024-11-04 14:43:00+00:00,SELL,0.13,2738.615,2744.855,-1.0,-85.02,-6.54,SL,20.0,0.65,-78.0
2024-11-05 14:07:00+00:00,2024-11-05 15:00:00+00:00,BUY,0.25,2744.388,2741.215,-1.0,-86.82,-3.473,SL,270.0,137.18,-84.33
2024-11-07 14:20:00+00:00,2024-11-07 15:11:00+00:00,BUY,0.13,2683.965,2695.885,2.0,151.06,11.62,TP,260.0,159.9,0.0
2024-11-08 13:55:00+00:00,2024-11-08 14:45:00+00:00,BUY,0.13,2696.415,2690.368,-1.0,-82.51,-6.347,SL,255.0,97.76,-114.01
2024-11-12 14:40:00+00:00,2024-11-12 15:04:00+00:00,BUY,0.09,2614.685,2605.735,-1.0,-83.25,-9.25,SL,125.0,15.3,-86.67
2024-11-13 13:46:00+00:00,2024-11-13 16:29:00+00:00,SELL,0.08,2608.415,2595.495,1.265,100.96,12.62,TIME,820.0,118.8,-62.72
2024-11-14 14:20:00+00:00,2024-11-14 16:29:00+00:00,BUY,0.09,2560.095,2575.535,1.794,136.26,15.14,TIME,650.0,147.87,-23.04
2024-11-18 14:35:00+00:00,2024-11-18 15:30:00+00:00,BUY,0.19,2603.185,2611.739,2.0,156.83,8.254,TP,280.0,172.2,0.0
2024-11-19 14:20:00+00:00,2024-11-19 16:29:00+00:00,SELL,0.11,2629.115,2624.155,0.702,51.26,4.66,TIME,650.0,89.98,-19.36
2024-11-20 13:46:00+00:00,2024-11-20 14:13:00+00:00,SELL,0.18,2634.825,2639.345,-1.0,-86.76,-4.82,SL,140.0,28.57,-76.91
2024-11-21 14:45:00+00:00,2024-11-21 14:52:00+00:00,BUY,0.16,2667.145,2661.984,-1.0,-87.38,-5.461,SL,40.0,10.56,-90.56
2024-11-25 14:05:00+00:00,2024-11-25 14:15:00+00:00,SELL,0.08,2677.895,2658.1150000000002,2.0,155.84,19.48,TP,55.0,192.56,0.0
2024-11-26 13:55:00+00:00,2024-11-26 14:40:00+00:00,SELL,0.18,2629.675,2620.7350000000006,2.0,155.52,8.64,TP,230.0,214.58,-71.28
2024-11-27 13:55:00+00:00,2024-11-27 15:01:00+00:00,BUY,0.16,2652.925,2647.865,-1.0,-85.76,-5.36,SL,335.0,81.28,-150.83
2024-11-28 15:05:00+00:00,2024-11-28 16:29:00+00:00,SELL,0.19,2642.648,2641.465,0.281,16.78,0.883,TIME,425.0,123.18,0.0
2024-11-29 14:25:00+00:00,2024-11-29 16:29:00+00:00,SELL,0.15,2657.525,2661.055,-0.674,-57.45,-3.83,TIME,625.0,105.45,-67.69
2024-12-02 14:15:00+00:00,2024-12-02 14:45:00+00:00,BUY,0.14,2648.655,2642.855,-1.0,-85.4,-6.1,SL,155.0,38.22,-84.28
2024-12-03 13:50:00+00:00,2024-12-03 14:31:00+00:00,BUY,0.21,2647.675,2655.3950000000004,2.0,155.82,7.42,TP,210.0,164.91,0.0
2024-12-04 15:50:00+00:00,2024-12-04 16:29:00+00:00,BUY,0.13,2647.844,2654.365,1.026,80.87,6.221,TIME,200.0,98.81,0.0
2024-12-05 14:50:00+00:00,2024-12-05 16:29:00+00:00,SELL,0.13,2644.215,2637.385,1.082,84.89,6.53,TIME,500.0,160.29,-29.77
2024-12-06 14:10:00+00:00,2024-12-06 16:29:00+00:00,SELL,0.07,2630.948,2638.998,-0.658,-58.45,-8.35,TIME,700.0,49.59,-66.75
2024-12-10 16:00:00+00:00,2024-12-10 16:00:00+00:00,BUY,0.18,2677.575,2686.2889999999998,2.0,151.45,8.414,TP,5.0,173.52,0.0
2024-12-11 14:14:00+00:00,2024-12-11 16:29:00+00:00,BUY,0.09,2701.548,2715.984,1.675,127.22,14.136,TIME,680.0,136.53,-46.48
2024-12-12 13:50:00+00:00,2024-12-12 14:10:00+00:00,SELL,0.14,2704.914,2693.3740000000003,2.0,157.36,11.24,TP,105.0,171.44,-9.1
2024-12-13 14:20:00+00:00,2024-12-13 15:26:00+00:00,SELL,0.23,2662.165,2655.187,2.0,153.59,6.678,TP,335.0,175.72,-10.81
2024-12-16 14:50:00+00:00,2024-12-16 15:21:00+00:00,SELL,0.23,2659.194,2652.1259999999997,2.0,155.66,6.768,TP,160.0,182.14,0.0
2024-12-17 13:55:00+00:00,2024-12-17 16:29:00+00:00,SELL,0.13,2638.415,2638.148,0.043,-0.43,-0.033,TIME,775.0,73.06,-56.98
2024-12-19 14:45:00+00:00,2024-12-19 16:29:00+00:00,SELL,0.12,2597.715,2592.065,0.859,64.2,5.35,TIME,525.0,130.8,0.0
2024-12-20 13:47:00+00:00,2024-12-20 15:55:00+00:00,BUY,0.08,2610.115,2630.914999999999,2.0,164.0,20.5,TP,645.0,167.11,-13.52
2024-12-23 15:05:00+00:00,2024-12-23 16:29:00+00:00,SELL,0.17,2614.695,2611.908,0.579,42.28,2.487,TIME,425.0,112.88,0.0
2024-12-24 14:35:00+00:00,2024-12-24 14:49:00+00:00,BUY,0.39,2613.205,2611.145,-1.0,-92.04,-2.36,SL,75.0,38.73,-81.9
2024-12-26 13:50:00+00:00,2024-12-26 14:49:00+00:00,SELL,0.18,2623.508,2627.984,-1.0,-85.97,-4.776,SL,300.0,25.79,-79.15
2024-12-30 14:00:00+00:00,2024-12-30 16:29:00+00:00,SELL,0.08,2612.385,2596.145,1.659,127.52,15.94,TIME,750.0,131.84,-10.88
2024-12-31 14:36:00+00:00,2024-12-31 15:39:00+00:00,BUY,0.21,2615.995,2623.7349999999997,2.0,156.24,7.44,TP,320.0,166.11,-79.8
2025-01-02 13:50:00+00:00,2025-01-02 14:31:00+00:00,BUY,0.2,2640.905,2649.065000000001,2.0,157.2,7.86,TP,210.0,181.6,-15.4
2025-01-03 13:54:00+00:00,2025-01-03 15:04:00+00:00,BUY,0.1,2651.055,2643.355,-1.0,-80.0,-8.0,SL,355.0,14.5,-78.0
2025-01-06 13:45:00+00:00,2025-01-06 16:29:00+00:00,SELL,0.04,2624.044,2638.298,-0.78,-58.22,-14.554,TIME,825.0,38.72,-61.96
2025-01-07 15:05:00+00:00,2025-01-07 15:05:00+00:00,SELL,0.16,2656.948,2647.0939999999996,2.0,152.86,9.554,TP,5.0,202.29,0.0
2025-01-08 15:05:00+00:00,2025-01-08 16:29:00+00:00,BUY,0.14,2657.915,2666.185,1.49,111.58,7.97,TIME,425.0,136.26,0.0
2025-01-09 14:00:00+00:00,2025-01-09 16:29:00+00:00,SELL,0.17,2673.754,2668.565,1.118,83.11,4.889,TIME,750.0,119.17,-29.26
2025-01-10 13:45:00+00:00,2025-01-10 16:29:00+00:00,BUY,0.06,2676.608,2688.268,0.87,68.16,11.36,TIME,825.0,126.28,-12.62
2025-01-13 14:50:00+00:00,2025-01-13 15:55:00+00:00,BUY,0.12,2670.035,2663.625,-1.0,-80.52,-6.71,SL,330.0,49.2,-79.56
2025-01-15 14:00:00+00:00,2025-01-15 14:34:00+00:00,BUY,0.08,2693.069,2682.935,-1.0,-83.47,-10.434,SL,175.0,22.85,-90.65
2025-01-16 13:45:00+00:00,2025-01-16 16:29:00+00:00,BUY,0.12,2714.979,2718.059,0.478,33.36,2.78,TIME,825.0,61.03,-31.56
2025-01-17 14:45:00+00:00,2025-01-17 16:21:00+00:00,BUY,0.2,2708.825,2716.7169999999996,2.0,151.84,7.592,TP,485.0,159.2,0.0
2025-01-20 14:08:00+00:00,2025-01-20 16:29:00+00:00,BUY,0.09,2710.328,2706.398,-0.445,-38.07,-4.23,TIME,710.0,13.56,-64.29
2025-01-21 13:46:00+00:00,2025-01-21 13:53:00+00:00,SELL,0.25,2726.195,2729.375,-1.0,-87.0,-3.48,SL,40.0,1.75,-73.5
2025-01-22 14:35:00+00:00,2025-01-22 14:45:00+00:00,SELL,0.19,2750.795,2755.035,-1.0,-86.26,-4.54,SL,55.0,12.29,-81.38
2025-01-23 16:15:00+00:00,2025-01-23 16:29:00+00:00,BUY,0.12,2742.525,2750.805,1.207,95.76,7.98,TIME,75.0,107.76,0.0
2025-01-24 13:45:00+00:00,2025-01-24 14:12:00+00:00,BUY,0.19,2784.245,2780.088,-1.0,-84.68,-4.457,SL,140.0,4.94,-83.03
2025-01-27 14:25:00+00:00,2025-01-27 16:29:00+00:00,SELL,0.11,2752.175,2740.945,1.555,120.23,10.93,TIME,625.0,155.54,-33.55
2025-01-29 14:25:00+00:00,2025-01-29 15:24:00+00:00,BUY,0.21,2757.945,2754.125,-1.0,-86.52,-4.12,SL,300.0,62.58,-80.22
2025-01-30 14:25:00+00:00,2025-01-30 16:29:00+00:00,BUY,0.11,2784.348,2791.155,0.921,71.58,6.507,TIME,625.0,153.53,-48.43
2025-01-31 14:54:00+00:00,2025-01-31 16:29:00+00:00,BUY,0.15,2808.315,2806.425,-0.344,-32.85,-2.19,TIME,480.0,129.3,-52.2
2025-02-03 14:40:00+00:00,2025-02-03 14:40:00+00:00,BUY,0.27,2810.828,2816.774,2.0,152.44,5.646,TP,5.0,190.54,0.0
2025-02-05 13:46:00+00:00,2025-02-05 14:30:00+00:00,SELL,0.12,2859.795,2866.615,-1.0,-85.44,-7.12,SL,225.0,17.76,-84.88
2025-02-06 13:45:00+00:00,2025-02-06 14:48:00+00:00,SELL,0.19,2859.498,2851.1240000000003,2.0,153.41,8.074,TP,320.0,175.05,-15.71
2025-02-07 16:00:00+00:00,2025-02-07 16:29:00+00:00,BUY,0.04,2870.498,2869.375,-0.061,-5.69,-1.423,TIME,150.0,43.35,-21.09
2025-02-10 14:05:00+00:00,2025-02-10 14:20:00+00:00,SELL,0.18,2899.735,2904.225,-1.0,-86.22,-4.79,SL,80.0,63.54,-83.88
